,FrameId,VesicleId,IntCh1,IntCh2,IntCh3,xCoord,yCoord,radius,ch1_bg,ch2_bg
0,0,0,140.59,120.96,0,73,86,21,155.14285714285714,132.75661375661375
1,1,0,147.59,123.71,0,73,87,21,165.64523809523808,136.74510582010583
2,2,0,160.84,130.24,0,73,87,21,163.57566137566135,138.53214285714284
3,3,0,172.49,132.04,0,73,87,21,166.76071428571427,140.89603174603172
4,4,0,179.93,137.69,0,73,87,21,169.72910052910055,141.1280423280423
5,5,0,172.88,131.66,0,73,86,20,171.13174603174605,143.2382275132275
6,6,0,189.76,137.06,0,73,87,21,174.569708994709,144.92962962962963
7,7,0,204.93,146.25,0,73,87,21,173.85026455026457,145.2589947089947
8,8,0,211.57,149.26,0,73,87,21,175.03849206349201,145.83201058201058
9,9,0,216.65,147.23,0,73,87,20,175.6820105820106,148.18280423280424
10,10,0,236.51,156.75,0,73,87,21,177.0679894179894,148.41097883597882
11,11,0,231.91,150.89,0,73,87,20,178.71190476190475,148.99761904761905
12,12,0,229.89,148.31,0,73,87,20,181.1820105820106,150.66415343915344
13,13,0,246.43,162.69,0,73,87,20,182.05171957671956,149.65052910052907
14,14,0,254.78,158.42,0,73,87,20,181.930291005291,150.80092592592592
15,15,0,256.67,163.65,0,73,87,20,186.08611111111105,153.4275132275132
16,16,0,275.33,168.65,0,73,88,20,188.1337301587302,152.28425925925924
17,17,0,273.57,167.77,0,73,87,20,187.00039682539682,154.01534391534395
18,18,0,280.58,168.83,0,73,87,20,188.64391534391535,154.00780423280423
19,19,0,293.2,178.08,0,73,88,20,186.98373015873014,153.2383597883598
20,20,0,318.51,185.46,0,73,88,20,190.0876984126984,154.97619047619048
21,21,0,321.63,183.11,0,73,88,20,191.98174603174607,157.94933862433862
22,22,0,332.11,191.25,0,73,88,20,194.64431216931217,158.1382275132275
23,23,0,350.11,196.41,0,73,88,20,201.6424603174603,159.44298941798945
24,24,0,348.53,193.22,0,73,88,20,202.86150793650793,160.94880952380953
25,25,0,365.64,201.75,0,73,88,20,201.40383597883599,159.25
26,26,0,369.01,199.68,0,73,88,20,207.34523809523807,162.71547619047624
27,27,0,387.29,209.31,0,73,88,20,213.94391534391534,165.0345238095238
28,28,0,389.79,210.06,0,73,88,20,215.25661375661377,165.67023809523806
29,29,0,402.62,209.89,0,73,89,20,213.71402116402118,165.54047619047617
30,30,0,477.59,241.0,0,73,89,20,218.93902116402117,166.67380952380952
